Department Name,Classification Name,Address Zip Code,svc_bin,pay_bin,start_year_bin,start_season
FAMILY PRACTICE CLIN,"ASSISTANT I, MEDICAL",91786,15-20,20-25,2000-2010,Summer
LAVERNE HC URGENT CA,"ASSISTANT I, MEDICAL",92337,5-10,20-25,2010-2020,Spring
CHINO HILLS  HEALTH,"ASSISTANT I, MEDICAL",92509,10-15,20-25,2000-2010,Spring
CLAREMONT HC PRIMARY,"ASSISTANT I, MEDICAL",91010,10-15,20-25,2000-2010,Winter
FAMILY PRACTICE CLIN,"ASSISTANT I, MEDICAL",92377,10-15,20-25,2000-2010,Spring
CHILDREN'S OUTPATIEN,"ASSISTANT I, MEDICAL",91744,0-5,20-25,2010-2020,Spring
FAMILY PRACTICE CLIN,"ASSISTANT I, MEDICAL",91723,10-15,20-25,2000-2010,Spring
CLAREMONT HC PRIMARY,"ASSISTANT I, MEDICAL",92335,0-5,15-20,2010-2020,Spring
CHINO HILLS  HEALTH,"ASSISTANT I, MEDICAL",91740,10-15,20-25,2000-2010,Winter
CLAREMONT HC URGENT,"ASSISTANT I, MEDICAL",91766,15-20,20-25,2000-2010,Spring
HEALTH INFO MGNT/COD,"ASSISTANT, CODING",92411,15-20,30-35,2000-2010,Winter
DAY SURGERY,"ASSISTANT, DAY SURG",91710,15-20,30-35,2000-2010,Winter
FOOD & NUTRITION SER,"ASSISTANT, FNS",91763,15-20,30-35,2000-2010,Summer
FOUNDATION,"ASSISTANT, FOUND",92376,5-10,25-30,2010-2020,Spring
LDRP O.R.,"ASSISTANT, LDRP",91750,20-25,30-35,1990-2000,Winter
MEDICAL ONCOLOGY,"ASSISTANT, MEDICAL O",91767,0-5,20-25,2010-2020,Winter
MEDICAL ONCOLOGY,"ASSISTANT, MEDICAL O",91730,0-5,15-20,2010-2020,Spring
MEDICAL ONCOLOGY,"ASSISTANT, MEDICAL O",91764,0-5,15-20,2010-2020,Fall
MEDICAL ONCOLOGY,"ASSISTANT, MEDICAL O",92879,0-5,20-25,2010-2020,Spring
MEDICAL ONCOLOGY,"ASSISTANT, MEDICAL O",91764,0-5,20-25,2010-2020,Fall
MEDICAL STAFF OFFICE,"ASSISTANT, MEDICAL S",91706,0-5,35-40,2010-2020,Summer
MEDICAL STAFF OFFICE,"ASSISTANT, MEDICAL S",91710,0-5,30-35,2010-2020,Spring
MEDICAL STAFF OFFICE,"ASSISTANT, MEDICAL S",91730,0-5,30-35,2010-2020,Summer
RADIOLOGY-ADMIN,"ASSISTANT, PACS",92337,20-25,35-40,1990-2000,Winter
LAB-PATHOLOGY,"ASSISTANT, PATHOLOGY",91701,10-15,30-35,2000-2010,Winter
PHYSICAL THERAPY WES,"ASSISTANT, PHYSICAL",91762,0-5,30-35,2010-2020,Fall
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",91750,20-25,35-40,1990-2000,Fall
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",91709,5-10,35-40,2010-2020,Spring
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",92880,10-15,35-40,2000-2010,Summer
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",91746,0-5,25-30,2010-2020,Summer
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",91767,10-15,35-40,2000-2010,Summer
PHYSICAL THERAPY WES,"ASSISTANT, PHYSICAL",91792,0-5,35-40,2010-2020,Summer
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",92336,5-10,35-40,2010-2020,Spring
PHY THER LAVERNE HC,"ASSISTANT, PHYSICAL",91741,10-15,35-40,2000-2010,Fall
PHYSICAL THERAPY MON,"ASSISTANT, PHYSICAL",91768,5-10,35-40,2010-2020,Fall
PHYSICAL THERAPY,"ASSISTANT, PHYSICAL",91803,0-5,25-30,2010-2020,Summer
PHY THER MILESTONES,"ASSISTANT, PT ADMINI",92407,20-25,30-35,1990-2000,Fall
PHY THER LAVERNE HC,"ASSISTANT, PT ADMINI",91785,15-20,30-35,2000-2010,Winter
PHYSICAL THERAPY CLA,"ASSISTANT, PT ADMINI",92509,25-30,30-35,1990-2000,Summer
PHYSICAL THERAPY WES,"ASSISTANT, PT ADMINI",91768,25-30,30-35,1990-2000,Winter
PHYSICAL THERAPY MON,"ASSISTANT, PT ADMINI",92376,10-15,30-35,2000-2010,Summer
PHYSICAL THERAPY,"ASSISTANT, PT ADMINI",91741,15-20,30-35,2000-2010,Summer
RADIOLOGY-ADMIN,"ASSISTANT, RADIOLOGY",91784,30-35,30-35,1980-1990,Summer
SECURITY,"ASSISTANT, SECURITY",91768,15-20,30-35,2000-2010,Winter
HEALTH INFO MGNT/COD,"ASSISTANT, SR CODING",92336,15-20,45-50,2000-2010,Spring
HEALTH INFO MGNT/COD,"ASSISTANT, SR CODING",91711,30-35,45-50,1980-1990,Summer
HEALTH INFO MGNT/COD,"ASSISTANT, SR CODING",91739,20-25,40-45,1990-2000,Spring
HEALTH INFO MGNT/COD,"ASSISTANT, SR CODING",91786,10-15,35-40,2000-2010,Spring
PHYSICAL THERAPY,"ASSISTANT, SR PHYSIC",91786,20-25,40-45,1990-2000,Winter
PHYSICAL THERAPY,"ASSISTANT, SR PHYSIC",91767,25-30,45-50,1990-2000,Fall
PHYSICAL THERAPY CHI,"ASSISTANT, SR PHYSIC",91709,15-20,40-45,2000-2010,Fall
VOLUNTEERS,"ASSISTANT, VOLUNTEER",91740,0-5,25-30,2010-2020,Summer
CHINO HILLS  HEALTH,ASSISTANT/RECEPTIONI,91764,10-15,20-25,2000-2010,Spring
CLAREMONT HC PRIMARY,ASSISTANT/RECEPTIONI,91767,0-5,15-20,2010-2020,Fall
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,92308,0-5,15-20,2010-2020,Summer
LAVERNE HC URGENT CA,ASSISTANT/RECEPTIONI,92405,0-5,20-25,2010-2020,Winter
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,91740,5-10,20-25,2010-2020,Winter
CHINO HILLS  HEALTH,ASSISTANT/RECEPTIONI,91710,0-5,15-20,2010-2020,Winter
LAVERNE HC PRIMARY C,ASSISTANT/RECEPTIONI,92404,0-5,15-20,2010-2020,Winter
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,91763,0-5,15-20,2010-2020,Spring
LAVERNE HC PRIMARY C,ASSISTANT/RECEPTIONI,91766,0-5,20-25,2010-2020,Fall
CLAREMONT HC PRIMARY,ASSISTANT/RECEPTIONI,91711,0-5,20-25,2010-2020,Spring
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,91331,5-10,20-25,2010-2020,Spring
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,92336,0-5,15-20,2010-2020,Summer
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,91792,0-5,20-25,2010-2020,Summer
CH CROSSROADS URGENT,ASSISTANT/RECEPTIONI,91750,0-5,20-25,2010-2020,Winter
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,91767,nan,20-25,2010-2020,Fall
CHINO HILLS  HEALTH,ASSISTANT/RECEPTIONI,92337,5-10,20-25,2010-2020,Spring
CLAREMONT HC PRIMARY,ASSISTANT/RECEPTIONI,91767,0-5,20-25,2010-2020,Fall
CLAREMONT HC PRIMARY,ASSISTANT/RECEPTIONI,91768,0-5,15-20,2010-2020,Winter
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,91766,0-5,15-20,2010-2020,Spring
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,91766,nan,20-25,2010-2020,Fall
LAVERNE HC PRIMARY C,ASSISTANT/RECEPTIONI,91767,0-5,20-25,2010-2020,Winter
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,91710,nan,20-25,2020-2021,Winter
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,92509,0-5,20-25,2010-2020,Fall
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,92376,5-10,20-25,2010-2020,Fall
CH CROSSROADS URGENT,ASSISTANT/RECEPTIONI,91786,nan,20-25,2010-2020,Fall
CH CROSSROADS HEALTH,ASSISTANT/RECEPTIONI,92337,0-5,20-25,2010-2020,Spring
LAVERNE HC URGENT CA,ASSISTANT/RECEPTIONI,91767,0-5,20-25,2010-2020,Spring
LAVERNE HC PRIMARY C,ASSISTANT/RECEPTIONI,91750,0-5,20-25,2010-2020,Winter
LAVERNE HC PRIMARY C,ASSISTANT/RECEPTIONI,91733,0-5,15-20,2010-2020,Fall
LAVERNE HC URGENT CA,ASSISTANT/RECEPTIONI,91764,nan,20-25,2010-2020,Summer
CLAREMONT HC PRIMARY,ASSISTANT/RECEPTIONI,91767,15-20,20-25,2000-2010,Winter
FAMILY PRACTICE CLIN,ASSISTANT/RECEPTIONI,91763,0-5,20-25,2010-2020,Fall
UTILIZATION MANAGEME,"AUDITOR, CLINICAL DO",91724,0-5,75-80,2010-2020,Winter
UTILIZATION MANAGEME,"AUDITOR, CLINICAL DO",91765,0-5,65-70,2010-2020,Summer
UTILIZATION MANAGEME,"AUDITOR, CLINICAL DO",92602,0-5,65-70,2010-2020,Spring
HUMAN RESOURCES,BENEFITS SPECIST,92545,0-5,35-40,2010-2020,Winter
HUMAN RESOURCES,BENEFITS SPECIST,91730,0-5,35-40,2010-2020,Spring
PURCHASING,BUYER,92509,nan,25-30,2010-2020,Fall
PURCHASING,BUYER,91773,0-5,30-35,2010-2020,Fall
PURCHASING,BUYER,91761,5-10,30-35,2010-2020,Fall
PURCHASING,"BUYER, PROCEDURAL SE",91801,0-5,35-40,2010-2020,Fall
PURCHASING,"BUYER, SENIOR",91730,0-5,35-40,2010-2020,Spring
CATH LAB,CARDIAC CATH CVT TEC,91737,25-30,40-45,1980-1990,Summer
CATH LAB,CARDIAC CATH CVT TEC,91765,0-5,35-40,2010-2020,Winter
CATH LAB,CARDIAC CATH RAD TEC,92880,10-15,50-55,2000-2010,Spring
CATH LAB,CARDIAC CATH RAD TEC,91773,0-5,50-55,2010-2020,Winter
CATH LAB,CARDIAC CATH RAD TEC,92337,15-20,40-45,2000-2010,Fall
CATH LAB,CARDIAC CATH RAD TEC,92880,10-15,50-55,2000-2010,Fall
CATH LAB,CARDIAC CATH RAD TEC,91745,20-25,50-55,1990-2000,Spring
CATH LAB,CARDIAC CATH RAD TEC,91762,30-35,55-60,1980-1990,Spring
CATH LAB,CARDIAC CATH RAD TEC,91761,0-5,50-55,2010-2020,Winter
NON-INVASIVE CARDIO,CARDIO TECH II,91761,15-20,35-40,2000-2010,Summer
NON-INVASIVE CARDIO,CARDIO TECH II,92376,5-10,35-40,2010-2020,Spring
NON-INVASIVE CARDIO,CARDIO TECH II,92880,15-20,35-40,1990-2000,Fall
NON-INVASIVE CARDIO,CARDIO TECH II,92880,20-25,35-40,1990-2000,Summer
PLANT OPERATIONS,CARPENTER,91750,0-5,30-35,2010-2020,Winter
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,92336,0-5,25-30,2010-2020,Winter
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,92404,5-10,25-30,2010-2020,Fall
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,91786,0-5,25-30,2010-2020,Summer
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,91709,25-30,25-30,1990-2000,Winter
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,91739,10-15,25-30,2000-2010,Fall
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,91767,30-35,25-30,1980-1990,Spring
UTILIZATION MANAGEME,CASE MANAGEMENT SUPP,91710,0-5,25-30,2010-2020,Fall
PLANT OPERATIONS,CENT DISPATCH WORKER,91767,0-5,15-20,2010-2020,Fall
CLAREMONT HC PRIMARY,CENTER SUPERVISOR,91767,0-5,35-40,2010-2020,Winter
LAVERNE HC URGENT CA,CENTER SUPERVISOR,91773,0-5,35-40,2010-2020,Winter
LAVERNE HC PRIMARY C,CENTER SUPERVISOR,91702,5-10,40-45,2010-2020,Winter
CH CROSSROADS HEALTH,CENTER SUPERVISOR,92880,0-5,30-35,2010-2020,Summer
CHINO HILLS  HEALTH,CENTER SUPERVISOR,92881,0-5,35-40,2010-2020,Fall
CLAREMONT HC URGENT,CENTER SUPERVISOR,91739,15-20,35-40,1990-2000,Winter
FAMILY PRACTICE CLIN,CENTER SUPERVISOR,92570,0-5,40-45,2010-2020,Winter
CH CROSSROADS URGENT,CENTER SUPERVISOR,92313,0-5,40-45,2010-2020,Winter
CLINICAL PASTORAL ED,CHAPLAIN,91711,0-5,30-35,2010-2020,Spring
EMERGENCY DEPT,CHARGE REVENUE REP,92880,10-15,20-25,2000-2010,Summer
EMERGENCY DEPT,CHARGE REVENUE REP,91786,10-15,20-25,2000-2010,Spring
EMERGENCY DEPT,CHARGE REVENUE REP,91710,15-20,20-25,2000-2010,Winter
OBSERVATION CARE,CHARGE REVENUE REP,91767,5-10,20-25,2010-2020,Summer
PHYSICAL THERAPY,CHIEF PHYSICAL THERA,91709,20-25,85-90,1990-2000,Spring
NICU,CLER ASSOC,91767,10-15,20-25,2000-2010,Fall
EMERGENCY DEPT,CLER ASSOC,91764,0-5,15-20,2010-2020,Spring
EMERGENCY DEPT,CLER ASSOC,91763,10-15,20-25,2000-2010,Fall
NICU,CLER ASSOC,92376,15-20,20-25,1990-2000,Winter
EMERGENCY DEPT,CLER ASSOC,92335,15-20,20-25,2000-2010,Summer
EMERGENCY DEPT,CLER ASSOC,91766,5-10,20-25,2010-2020,Spring
EMERGENCY DEPT,CLER ASSOC,91730,10-15,20-25,2000-2010,Winter
EMERGENCY DEPT,CLER ASSOC,92551,10-15,20-25,2000-2010,Spring
NICU,CLER ASSOC,91786,15-20,20-25,1990-2000,Fall
EMERGENCY DEPT,CLER ASSOC,91763,20-25,20-25,1990-2000,Spring
EMERGENCY DEPT,CLER ASSOC,91767,0-5,15-20,2010-2020,Fall
EMERGENCY DEPT,CLER ASSOC,91766,5-10,20-25,2010-2020,Spring
EMERGENCY DEPT,CLER ASSOC,91791,0-5,15-20,2010-2020,Fall
EMERGENCY DEPT,CLER ASSOC,90022,0-5,15-20,2010-2020,Summer
EMERGENCY DEPT,CLER ASSOC,92411,0-5,15-20,2010-2020,Fall
EMERGENCY DEPT,CLER ASSOC,91790,5-10,15-20,2010-2020,Summer
NICU,CLER ASSOC,91768,0-5,20-25,2010-2020,Spring
